ts_utc,ts_local,year,month,date_local,hour_local,weekday,is_weekend,duration_h,price_eur_mwh,negative
2020-12-31T23:00:00Z,2021-01-01 00:00:00+0100,2021,1,2021-01-01,0,4,False,1.0,45.54,False
2021-01-01T00:00:00Z,2021-01-01 01:00:00+0100,2021,1,2021-01-01,1,4,False,1.0,41.59,False
2021-01-01T01:00:00Z,2021-01-01 02:00:00+0100,2021,1,2021-01-01,2,4,False,1.0,40.05,False
2021-01-01T02:00:00Z,2021-01-01 03:00:00+0100,2021,1,2021-01-01,3,4,False,1.0,36.9,False
2021-01-01T03:00:00Z,2021-01-01 04:00:00+0100,2021,1,2021-01-01,4,4,False,1.0,34.47,False
2021-01-01T04:00:00Z,2021-01-01 05:00:00+0100,2021,1,2021-01-01,5,4,False,1.0,32.82,False
2021-01-01T05:00:00Z,2021-01-01 06:00:00+0100,2021,1,2021-01-01,6,4,False,1.0,30.71,False
2021-01-01T06:00:00Z,2021-01-01 07:00:00+0100,2021,1,2021-01-01,7,4,False,1.0,15.0,False
2021-01-01T07:00:00Z,2021-01-01 08:00:00+0100,2021,1,2021-01-01,8,4,False,1.0,8.43,False
2021-01-01T08:00:00Z,2021-01-01 09:00:00+0100,2021,1,2021-01-01,9,4,False,1.0,26.2,False
2021-01-01T09:00:00Z,2021-01-01 10:00:00+0100,2021,1,2021-01-01,10,4,False,1.0,31.64,False
2021-01-01T10:00:00Z,2021-01-01 11:00:00+0100,2021,1,2021-01-01,11,4,False,1.0,42.4,False
2021-01-01T11:00:00Z,2021-01-01 12:00:00+0100,2021,1,2021-01-01,12,4,False,1.0,43.88,False
2021-01-01T12:00:00Z,2021-01-01 13:00:00+0100,2021,1,2021-01-01,13,4,False,1.0,45.1,False
2021-01-01T13:00:00Z,2021-01-01 14:00:00+0100,2021,1,2021-01-01,14,4,False,1.0,43.01,False
2021-01-01T14:00:00Z,2021-01-01 15:00:00+0100,2021,1,2021-01-01,15,4,False,1.0,44.32,False
2021-01-01T15:00:00Z,2021-01-01 16:00:00+0100,2021,1,2021-01-01,16,4,False,1.0,49.33,False
2021-01-01T16:00:00Z,2021-01-01 17:00:00+0100,2021,1,2021-01-01,17,4,False,1.0,54.81,False
2021-01-01T17:00:00Z,2021-01-01 18:00:00+0100,2021,1,2021-01-01,18,4,False,1.0,55.0,False
2021-01-01T18:00:00Z,2021-01-01 19:00:00+0100,2021,1,2021-01-01,19,4,False,1.0,55.0,False
2021-01-01T19:00:00Z,2021-01-01 20:00:00+0100,2021,1,2021-01-01,20,4,False,1.0,54.74,False
2021-01-01T20:00:00Z,2021-01-01 21:00:00+0100,2021,1,2021-01-01,21,4,False,1.0,51.5,False
2021-01-01T21:00:00Z,2021-01-01 22:00:00+0100,2021,1,2021-01-01,22,4,False,1.0,51.25,False
2021-01-01T22:00:00Z,2021-01-01 23:00:00+0100,2021,1,2021-01-01,23,4,False,1.0,46.83,False
2021-01-01T23:00:00Z,2021-01-02 00:00:00+0100,2021,1,2021-01-02,0,5,True,1.0,44.1,False
2021-01-02T00:00:00Z,2021-01-02 01:00:00+0100,2021,1,2021-01-02,1,5,True,1.0,38.54,False
2021-01-02T01:00:00Z,2021-01-02 02:00:00+0100,2021,1,2021-01-02,2,5,True,1.0,38.08,False
2021-01-02T02:00:00Z,2021-01-02 03:00:00+0100,2021,1,2021-01-02,3,5,True,1.0,37.1,False
2021-01-02T03:00:00Z,2021-01-02 04:00:00+0100,2021,1,2021-01-02,4,5,True,1.0,36.88,False
2021-01-02T04:00:00Z,2021-01-02 05:00:00+0100,2021,1,2021-01-02,5,5,True,1.0,37.2,False
2021-01-02T05:00:00Z,2021-01-02 06:00:00+0100,2021,1,2021-01-02,6,5,True,1.0,40.56,False
2021-01-02T06:00:00Z,2021-01-02 07:00:00+0100,2021,1,2021-01-02,7,5,True,1.0,45.2,False
2021-01-02T07:00:00Z,2021-01-02 08:00:00+0100,2021,1,2021-01-02,8,5,True,1.0,49.67,False
2021-01-02T08:00:00Z,2021-01-02 09:00:00+0100,2021,1,2021-01-02,9,5,True,1.0,55.43,False
2021-01-02T09:00:00Z,2021-01-02 10:00:00+0100,2021,1,2021-01-02,10,5,True,1.0,57.33,False
2021-01-02T10:00:00Z,2021-01-02 11:00:00+0100,2021,1,2021-01-02,11,5,True,1.0,57.4,False
2021-01-02T11:00:00Z,2021-01-02 12:00:00+0100,2021,1,2021-01-02,12,5,True,1.0,56.9,False
2021-01-02T12:00:00Z,2021-01-02 13:00:00+0100,2021,1,2021-01-02,13,5,True,1.0,55.3,False
2021-01-02T13:00:00Z,2021-01-02 14:00:00+0100,2021,1,2021-01-02,14,5,True,1.0,55.0,False
2021-01-02T14:00:00Z,2021-01-02 15:00:00+0100,2021,1,2021-01-02,15,5,True,1.0,56.32,False
2021-01-02T15:00:00Z,2021-01-02 16:00:00+0100,2021,1,2021-01-02,16,5,True,1.0,63.1,False
